"in stock","In this Korean horror classic, scary things happen after two sisters are reunited.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_2_ATaleofTwoSisters_Thumbnail.jpg",,"200 USD","A Tale of Two Sisters"
"in stock","In this 80s horror classic, two men are attacked by a werewolf while on vacation.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_4_AnAmericanWerefulInLondon_Thumbnail.jpg",,"200 USD","An American Werewolf in London"
"in stock","A man must deal with his wife��s dangerous behavior after the death of their son.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_5_AntiChrist_Thumbnail.jpg",,"200 USD",Antichrist
"in stock","A clinic employee sells live viruses harvested from sick celebrities to obsessed fans. When he accidentally infects himself with a deadly disease that killed off a pop-star, he must fight off rabid fans and his own immune system. ",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_6_Antiviral_Thumbnail.jpg",,"200 USD",Antiviral
"in stock","The spirit of a sadistic Baron is resurrected in Mario Bava's supernatural shocker.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_8_BaronBlood_Thumbnail.jpg",,"200 USD","Baron Blood"
"in stock","When a rich Countess dies, strange murders befall people trying to claim her property.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_9_BayofBlood_Thumbnail.jpg",,"200 USD","Bay of Blood"
"in stock","A sound mixer working on an Argento-style giallo is drawn into a surreal nightmare.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_11_BerberianSoundStudio_Thumbnail.jpg",,"200 USD","Berberian Sound Studio"
"in stock","Horror icon Boris Karloff hosts and stars in Mario Bava's classic horror anthology.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_13_BlackSabbath_Thumbnail.jpg",,"200 USD","Black Sabbath"
"in stock","A vengeful witch returns to possess her descendant in Mario Bava's most famous film.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_14_BlackSunday_Thumbnail.jpg",,"200 USD","Black Sunday"
"in stock","A schoolteacher struggles to fuel his latest invention: a car that runs on blood.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_15_BloodCar_Thumbnail.jpg",,"200 USD","Blood Car"
"in stock","Three evil children embark on a killing spree to celebrate their tenth birthdays.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_016_BloodyBirthday-R1.jpg",,"200 USD","Bloody Birthday"
"in stock","A woman begins seeing mysterious ghostly figures following her after a car crash.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_17_CarnivalOfSouls_Thumbnail.jpg",,"200 USD","Carnival of Souls"
"in stock","An American family inherits an Italian castle which houses a bloodthirsty monster.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_18_CastleFreak_Thumbnail.jpg",,"200 USD","Castle Freak"
"in stock","An agoraphobic man enlists a renegade priest to save his daughter from an evil gang.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_019_Citadel_Thumbnail.jpg",,"200 USD",Citadel
"in stock","A man must rescue his girlfriend from a deranged pair of elderly torturers.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/21_ColdSweat_masthead.jpg",,"200 USD","Cold Sweat"
"in stock","Two expectant parents find themselves stranded on an island with evil children.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_22_ComeOutAndPlay_Thumbnail.jpg",,"200 USD","Come Out and Play"
"in stock","After a zombie apocalypse, scientists attempt to reverse the reanimation process.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/24_DayoftheDead_masthead.jpg",,"200 USD","Day of the Dead"
"in stock","A group of students have their ski vacation cut short by an army of Nazi zombies.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_25_DeadSnow_thumbnail.jpg",,"200 USD","Dead Snow"
"in stock","When two teens find a chained-up dead girl, they do things they'll soon regret.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_780_DeadGirl_Thumbnail.jpg",,"200 USD","Dead Girl"
"in stock","A crazy veteran's backwoods hotel comes complete with a hungry, hungry crocodile.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_33_EatenAlive_Thumbnail.jpg",,"200 USD","Eaten Alive"
"in stock","A teenager realizes she's possessed after she begins having uncontrollable fits.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_034_Exorcismus_Thumbnail.jpg",,"200 USD",Exorcismus
"in stock","This notorious cult doc claims to show real footage of horrifying deaths.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/35_FacesofDeath_masthead.jpg",,"200 USD","Faces of Death"
"in stock","A vacation becomes a nightmare when a killer starts stalking a group of friends.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_38_5DollsForAnAugustMoon_Thumbnail.jpg",,"200 USD","Five Dolls for an August Moon"
"in stock","A battalion of soldiers are forced to face off against an army of undead soldiers.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/39_FrankensteinsArmy_masthead.jpg",,"200 USD","Frankenstein's Army"
"in stock","A female cannibal is released from an insane asylum, but her hunger soon returns.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/41_Frightmare_masthead_0lahJRM.jpg",,"200 USD",Frightmare
"in stock","An Irish village throws a boozy blowout when aliens with an aversion to alcohol invade.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_568_Grabbers_thumbnail.jpg","https://s3.amazonaws.com/amcxcoutput/A_C/shudder/Grabbers_tlr_043_HD_2ch.mp4","200 USD",Grabbers
"in stock","This controversial horror classic follows a serial killer and his partner-in-crime.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/48_HenryPOASK_masthead.jpg","https://s3.amazonaws.com/amcxcoutput/A_C/shudder/HenryPOASK_tlr_48_HD_2ch.mp4","200 USD","Henry Portrait of a Serial Killer"
"in stock","Mario Bava's most unusual film depicts a tourist pulled into a hellish mystery.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_62_LisaAndTheDevil_Thumbnail.jpg",,"200 USD","Lisa and the Devil"
"in stock","The bizarre true story behind the reviled 1996 adaptation of the H.G. Wells classic.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_485_LostSoul_Thumbnail.jpg",,"200 USD","Lost Soul"
"in stock","A ventriloquist's (Anthony Hopkins) dummy has a murderous mind of its own.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_65_Magic_Thumbnail.jpg",,"200 USD",Magic
"in stock","Two New York policemen and a policewoman search for a killer in uniform who should be dead.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/67_Maniac_Cop_masthead.jpg",,"200 USD","Maniac Cop"
"in stock","After a deadly virus turned millions into mutants, a couple struggles to find safety.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/70_Mutants_masthead.jpg",,"200 USD",Mutants
"in stock","This haunting documentary recounts the true story that inspired THE AMITYVILLE HORROR.",Movie,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/71_MyAmityville_Shudder_Masthead.jpg",,"200 USD","My Amityville Horror"
